source,target,weight,edge_in_prob_v,edge_out_prob_u
15,11,0.046092335,0.65643805,0.65643805
15,12,0.04322173,0.65643805,0.65643805
15,13,0.024986105,0.65643805,0.65643805
15,14,0.032625634,0.65643805,0.65643805
15,16,0.02604341,0.65643805,0.65643805
15,17,0.026567709,0.65643805,0.65643805
15,18,0.022675898,0.65643805,0.65643805
15,19,0.041833222,0.65643805,0.65643805
15,20,0.032932453,0.65643805,0.65643805
15,21,0.026427364,0.65643805,0.65643805
15,22,0.047233656,0.65643805,0.65643805
15,23,0.022218468,0.65643805,0.65643805
15,24,0.0462476,0.65643805,0.65643805
15,25,0.030992078,0.65643805,0.65643805
15,26,0.032161802,0.65643805,0.65643805
15,27,0.026297027,0.65643805,0.65643805
15,28,0.026198981,0.65643805,0.65643805
15,29,0.02602623,0.65643805,0.65643805
15,30,0.025439806,0.65643805,0.65643805
16,0,0.039492264,0.65643805,0.65643805
16,1,0.019062579,0.65643805,0.65643805
16,2,0.022386104,0.65643805,0.65643805
16,3,0.040618002,0.65643805,0.65643805
16,4,0.07015978,0.65643805,0.65643805
16,5,0.019867292,0.65643805,0.65643805
16,6,0.020003382,0.65643805,0.65643805
16,7,0.024839612,0.65643805,0.65643805
16,8,0.037588175,0.65643805,0.65643805
16,9,0.062318027,0.65643805,0.65643805
16,10,0.019438518,0.65643805,0.65643805
16,11,0.019888395,0.65643805,0.65643805
16,12,0.03650659,0.65643805,0.65643805
16,13,0.022588998,0.65643805,0.65643805
16,14,0.060789537,0.65643805,0.65643805
16,15,0.020053927,0.65643805,0.65643805
16,17,0.02177325,0.65643805,0.65643805
16,18,0.024312101,0.65643805,0.65643805
16,19,0.018440984,0.65643805,0.65643805
16,20,0.019753492,0.65643805,0.65643805
16,21,0.07423712,0.65643805,0.65643805
16,22,0.027013518,0.65643805,0.65643805
16,23,0.024769312,0.65643805,0.65643805
16,24,0.01986091,0.65643805,0.65643805
16,25,0.020314315,0.65643805,0.65643805
16,26,0.019954525,0.65643805,0.65643805
16,27,0.02189355,0.65643805,0.65643805
16,28,0.07470604,0.65643805,0.65643805
16,29,0.075054124,0.65643805,0.65643805
16,30,0.022315692,0.65643805,0.65643805
17,0,0.04173558,0.65643805,0.65643805
17,1,0.04002775,0.65643805,0.65643805
17,2,0.025242941,0.65643805,0.65643805
17,3,0.041396756,0.65643805,0.65643805
17,4,0.0329371,0.65643805,0.65643805
17,5,0.031655762,0.65643805,0.65643805
17,6,0.03985002,0.65643805,0.65643805
17,7,0.022710003,0.65643805,0.65643805
17,8,0.042311452,0.65643805,0.65643805
17,9,0.035409518,0.65643805,0.65643805
17,10,0.032852944,0.65643805,0.65643805
17,11,0.040446997,0.65643805,0.65643805
17,12,0.042456813,0.65643805,0.65643805
17,13,0.024946634,0.65643805,0.65643805
17,14,0.03586916,0.65643805,0.65643805
17,15,0.0311568,0.65643805,0.65643805
17,16,0.031242829,0.65643805,0.65643805
17,18,0.022728829,0.65643805,0.65643805
17,19,0.03789926,0.65643805,0.65643805
17,20,0.031913225,0.65643805,0.65643805
17,21,0.031536683,0.65643805,0.65643805
17,22,0.044647772,0.65643805,0.65643805
17,23,0.022289386,0.65643805,0.65643805
17,24,0.04061645,0.65643805,0.65643805
17,25,0.030628022,0.65643805,0.65643805
17,26,0.031400304,0.65643805,0.65643805
17,27,0.026146024,0.65643805,0.65643805
17,28,0.031362258,0.65643805,0.65643805
17,29,0.031231025,0.65643805,0.65643805
